time_ms,mode,left_target,right_target,left_mmps,right_mmps,left_pwm,right_pwm,left_error,right_error,count_diff
20,STEP_L,300,0,43,0,376,0,257,0,3
40,STEP_L,300,0,307,0,166,0,-7,0,13
60,STEP_L,300,0,334,0,144,0,-34,0,25
80,STEP_L,300,0,303,0,169,0,-3,0,35
100,STEP_L,300,0,334,0,144,0,-34,0,46
120,STEP_L,300,0,292,0,177,0,8,0,56
140,STEP_L,300,0,333,0,145,0,-33,0,67
160,STEP_L,300,0,292,0,177,0,8,0,77
180,STEP_L,300,0,333,0,145,0,-33,0,88
200,STEP_L,300,0,292,0,177,0,8,0,99
220,STEP_L,300,0,301,0,171,0,-1,0,109
240,STEP_L,300,0,290,0,179,0,10,0,120
260,STEP_L,300,0,300,0,171,0,0,0,130
280,STEP_L,300,0,334,0,144,0,-34,0,141
300,STEP_L,300,0,292,0,177,0,8,0,152
320,STEP_L,300,0,301,0,171,0,-1,0,162
340,STEP_L,300,0,290,0,179,0,10,0,172
360,STEP_L,300,0,300,0,171,0,0,0,183
380,STEP_L,300,0,290,0,179,0,10,0,194
400,STEP_L,300,0,300,0,171,0,0,0,204
420,STEP_L,300,0,334,0,144,0,-34,0,215
440,STEP_L,300,0,292,0,177,0,8,0,225
460,STEP_L,300,0,301,0,171,0,-1,0,236
480,STEP_L,300,0,290,0,179,0,10,0,246
500,STEP_L,300,0,333,0,145,0,-33,0,257
520,STEP_L,300,0,336,0,143,0,-36,0,268
540,STEP_L,300,0,292,0,177,0,8,0,278
560,STEP_L,300,0,333,0,145,0,-33,0,289
580,STEP_L,300,0,292,0,177,0,8,0,299
600,STEP_L,300,0,333,0,145,0,-33,0,310
620,STEP_L,300,0,292,0,177,0,8,0,321
640,STEP_L,300,0,301,0,171,0,-1,0,331
660,STEP_L,300,0,290,0,179,0,10,0,342
680,STEP_L,300,0,300,0,171,0,0,0,352
700,STEP_L,300,0,334,0,144,0,-34,0,363
720,STEP_L,300,0,292,0,177,0,8,0,373
740,STEP_L,300,0,333,0,145,0,-33,0,384
760,STEP_L,300,0,292,0,177,0,8,0,395
780,STEP_L,300,0,301,0,171,0,-1,0,405
800,STEP_L,300,0,290,0,179,0,10,0,416
820,STEP_L,300,0,300,0,171,0,0,0,426
840,STEP_L,300,0,334,0,144,0,-34,0,437
860,STEP_L,300,0,292,0,177,0,8,0,447
880,STEP_L,300,0,301,0,171,0,-1,0,458
900,STEP_L,300,0,290,0,179,0,10,0,468
920,STEP_L,300,0,333,0,145,0,-33,0,479
940,STEP_L,300,0,336,0,143,0,-36,0,490
960,STEP_L,300,0,292,0,177,0,8,0,500
980,STEP_L,300,0,333,0,145,0,-33,0,511
1000,STEP_L,300,0,292,0,177,0,8,0,521
1020,STEP_L,300,0,333,0,145,0,-33,0,532
1040,STEP_L,300,0,336,0,143,0,-36,0,543
1060,STEP_L,300,0,292,0,177,0,8,0,553
1080,STEP_L,300,0,290,0,179,0,10,0,564
1100,STEP_L,300,0,300,0,171,0,0,0,574
1120,STEP_L,300,0,301,0,171,0,-1,0,585
1140,STEP_L,300,0,290,0,179,0,10,0,596
1160,STEP_L,300,0,300,0,171,0,0,0,606
1180,STEP_L,300,0,290,0,179,0,10,0,617
1200,STEP_L,300,0,300,0,171,0,0,0,627
1220,STEP_L,300,0,334,0,144,0,-34,0,638
1240,STEP_L,300,0,292,0,177,0,8,0,649
1260,STEP_L,300,0,333,0,145,0,-33,0,659
1280,STEP_L,300,0,292,0,177,0,8,0,670
1300,STEP_L,300,0,301,0,171,0,-1,0,680
1320,STEP_L,300,0,334,0,144,0,-34,0,691
1340,STEP_L,300,0,292,0,177,0,8,0,701
1360,STEP_L,300,0,333,0,145,0,-33,0,712
1380,STEP_L,300,0,292,0,177,0,8,0,723
1400,STEP_L,300,0,301,0,171,0,-1,0,733
1420,STEP_L,300,0,290,0,179,0,10,0,744
1440,STEP_L,300,0,300,0,171,0,0,0,754
1460,STEP_L,300,0,334,0,144,0,-34,0,765
1480,STEP_L,300,0,292,0,177,0,8,0,775
1500,STEP_L,300,0,333,0,145,0,-33,0,786
1520,STEP_L,300,0,292,0,177,0,8,0,797
1540,STEP_L,300,0,301,0,171,0,-1,0,807
1560,STEP_L,300,0,334,0,144,0,-34,0,818
1580,STEP_L,300,0,292,0,177,0,8,0,828
1600,STEP_L,300,0,290,0,179,0,10,0,839
1620,STEP_L,300,0,300,0,171,0,0,0,850
1640,STEP_L,300,0,301,0,171,0,-1,0,860
1660,STEP_L,300,0,290,0,179,0,10,0,871
1680,STEP_L,300,0,300,0,171,0,0,0,881
1700,STEP_L,300,0,334,0,144,0,-34,0,892
1720,STEP_L,300,0,292,0,177,0,8,0,902
